                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 9.2509,                0.07468,                0.23903,                 39.159,               0.070088,              0.0033235,              0.0033235
                      1,                 7.7846,                0.11536,                0.30658,                 38.955,               0.040022,               0.006591,               0.006591
                      2,                 7.0164,                0.12925,                0.32989,                 38.787,              0.0098904,              0.0097924,              0.0097924
                      3,                 6.4184,                 0.2255,                0.47907,                  38.28,               0.009703,               0.009703,               0.009703
                      4,                 5.7322,                0.27724,                0.55539,                 38.099,               0.009703,               0.009703,               0.009703
                      5,                 5.2068,                0.32276,                0.59132,                 37.741,               0.009604,               0.009604,               0.009604
                      6,                 4.7529,                0.35219,                0.61846,                 37.549,               0.009505,               0.009505,               0.009505
                      7,                 4.3478,                0.37038,                0.63684,                 37.342,               0.009406,               0.009406,               0.009406
                      8,                 3.9633,                0.36463,                0.63291,                 37.299,               0.009307,               0.009307,               0.009307
                      9,                 3.5809,                0.37952,                0.64287,                 37.113,               0.009208,               0.009208,               0.009208
                     10,                  3.232,                0.39616,                0.64698,                 37.005,               0.009109,               0.009109,               0.009109
                     11,                 2.8799,                0.39963,                0.64872,                 36.926,                0.00901,                0.00901,                0.00901
                     12,                 2.5601,                0.40649,                0.65119,                 36.789,               0.008911,               0.008911,               0.008911
                     13,                 2.2262,                0.40868,                0.65265,                 36.739,               0.008812,               0.008812,               0.008812
                     14,                 1.9274,                0.40722,                0.64753,                 36.679,               0.008713,               0.008713,               0.008713
                     15,                 1.6887,                0.40932,                0.64671,                  36.63,               0.008614,               0.008614,               0.008614
                     16,                 1.4098,                0.41965,                0.64936,                 36.532,               0.008515,               0.008515,               0.008515
                     17,                 1.2355,                0.41865,                0.64506,                 36.502,               0.008416,               0.008416,               0.008416
                     18,                 1.0503,                0.41636,                0.64196,                 36.476,               0.008317,               0.008317,               0.008317
                     19,                0.94139,                0.41828,                0.64168,                 36.428,               0.008218,               0.008218,               0.008218
                     20,                0.80076,                0.42112,                0.64406,                 36.396,               0.008119,               0.008119,               0.008119
                     21,                0.68213,                0.42404,                0.64287,                 36.367,                0.00802,                0.00802,                0.00802
                     22,                0.60405,                0.42395,                0.64378,                 36.346,               0.007921,               0.007921,               0.007921
                     23,                0.59426,                 0.4266,                0.64863,                 36.321,               0.007822,               0.007822,               0.007822
                     24,                0.58519,                0.43062,                0.64808,                 36.292,               0.007723,               0.007723,               0.007723
                     25,                0.54016,                0.42788,                0.64817,                 36.303,               0.007624,               0.007624,               0.007624
                     26,                0.46929,                 0.4309,                0.65256,                 36.278,               0.007525,               0.007525,               0.007525
                     27,                0.43945,                0.43016,                0.65128,                 36.275,               0.007426,               0.007426,               0.007426
                     28,                0.42468,                0.43245,                0.65229,                 36.256,               0.007327,               0.007327,               0.007327
                     29,                0.40188,                 0.4308,                0.65548,                 36.249,               0.007228,               0.007228,               0.007228
                     30,                0.34484,                0.43455,                0.65128,                 36.228,               0.007129,               0.007129,               0.007129
                     31,                0.28246,                0.43419,                   0.65,                 36.229,                0.00703,                0.00703,                0.00703
                     32,                0.23275,                0.43492,                0.65265,                 36.211,               0.006931,               0.006931,               0.006931
                     33,                0.24912,                  0.434,                 0.6532,                 36.199,               0.006832,               0.006832,               0.006832
                     34,                0.30036,                0.43574,                0.65576,                  36.21,               0.006733,               0.006733,               0.006733
                     35,                0.41599,                0.43547,                0.65832,                  36.19,               0.006634,               0.006634,               0.006634
                     36,                0.46547,                0.43611,                0.65932,                 36.183,               0.006535,               0.006535,               0.006535
                     37,                0.40914,                0.43675,                0.66106,                 36.174,               0.006436,               0.006436,               0.006436
                     38,                0.29647,                0.44168,                0.66051,                  36.17,               0.006337,               0.006337,               0.006337
                     39,                0.21792,                0.44031,                0.65548,                 36.167,               0.006238,               0.006238,               0.006238
                     40,                0.16056,                0.44122,                0.65676,                 36.163,               0.006139,               0.006139,               0.006139
                     41,                 0.0736,                 0.4404,                0.65484,                 36.162,                0.00604,                0.00604,                0.00604
                     42,                0.03963,                0.43931,                 0.6543,                 36.163,               0.005941,               0.005941,               0.005941
                     43,                0.02395,                0.43931,                0.65558,                 36.164,               0.005842,               0.005842,               0.005842
                     44,                0.01133,                 0.4394,                0.65622,                 36.173,               0.005743,               0.005743,               0.005743
                     45,                0.00775,                 0.4394,                0.65576,                 36.177,               0.005644,               0.005644,               0.005644
                     46,                  0.007,                 0.4394,                0.65539,                  36.18,               0.005545,               0.005545,               0.005545
                     47,                0.00625,                0.43967,                0.65448,                 36.182,               0.005446,               0.005446,               0.005446
                     48,                0.00623,                0.44004,                0.65548,                 36.194,               0.005347,               0.005347,               0.005347
                     49,                0.00613,                0.43967,                0.65475,                 36.196,               0.005248,               0.005248,               0.005248
                     50,                0.00647,                0.43894,                0.65402,                 36.203,               0.005149,               0.005149,               0.005149
                     51,                 0.0073,                0.43803,                0.65402,                 36.208,                0.00505,                0.00505,                0.00505
                     52,                0.00755,                0.43903,                0.65293,                 36.216,               0.004951,               0.004951,               0.004951
                     53,                0.00853,                 0.4383,                0.65274,                 36.223,               0.004852,               0.004852,               0.004852
                     54,                0.00702,                0.43839,                0.65155,                 36.228,               0.004753,               0.004753,               0.004753
                     55,                 0.0065,                 0.4383,                0.65238,                 36.237,               0.004654,               0.004654,               0.004654
